occupation,n,cumprop,occupationmatched,ses
housewife,473695,0.378914168,housewife,1
salesman,50586,0.419378501,salesman,2
clerk,47826,0.457635077,clerk,2
retired,37493,0.487626166,retired,1
laborer,29372,0.511121172,laborer,1
teacher,23717,0.530092678,teacher,1
carpenter,20439,0.546442073,carpenter,2
hswf,19719,0.562215531,housewife,1
merchant,17366,0.576106798,merchant,2
homemaker,16138,0.589015773,housewife,1
mechanic,13507,0.59982018,mechanic,2
engineer,12571,0.60987587,engineer,2
bookkeeper,11728,0.619257234,bookkeeper,2
painter,11230,0.628240242,painter,2
nurse,10718,0.636813696,nurse,1
secretary,10138,0.6449232,secretary,1
accountant,9904,0.652845526,accountant,3
housekeeper,9242,0.66023831,housekeeper,1
saleslady,7773,0.666456023,saleslady,1
cook,6129,0.671358682,cook,1
manager,5279,0.675581416,manager,2
printer,5199,0.679740157,printer,2
barber,5193,0.683894098,barber,2
insurance,5057,0.687939252,insurance,3
none,4897,0.691856419,unemployed,1
welder,4125,0.695156055,welder,2
janitor,4056,0.698400497,janitor,1
butcher,3942,0.701553748,butcher,2
farmer,3891,0.704666205,farmer,1
foreman,3814,0.707717068,foreman,2
plumber,3785,0.710744734,plumber,2
fem housewife,3774,0.7137636,housewife,1
fireman,3573,0.716621685,fireman,2
physician,3517,0.719434974,physician,3
musician,3392,0.722148275,musician,2
baker,3309,0.724795183,baker,2
civil engineer,3139,0.727306105,civil engineer,3
cashier,3094,0.729781032,cashier,1
waitress,2948,0.732139172,waitress,1
udent,2891,0.734451717,student,1
chauffeur,2744,0.736646674,chauffeur,1
waiter,2670,0.738782438,waiter,1
builder,2663,0.740912603,builder,1
home,2523,0.74293078,home,1
warehouseman,2510,0.744938559,warehouseman,1
bank clerk,2485,0.746926339,bank clerk,2
grocer,2461,0.748894922,grocer,2
shipping clerk,2200,0.750654728,shipping clerk,2
tailor,2185,0.752402535,tailor,2
auto mechanic,2171,0.754139143,auto mechanic,2
broker,2162,0.755868552,broker,2
Decline,2142,0.757581963,,1
boilermaker,2045,0.759217782,boilermaker,2
police officer,1927,0.760759212,police officer,2
banker,1900,0.762279044,banker,3
housewif e,1863,0.76376928,housewife,1
unemployed,1850,0.765249116,unemployed,1
librarian,1791,0.766681758,librarian,2
or,1784,0.768108801,,1
marine engineer,1779,0.769531844,marine engineer,3
blacksmith,1755,0.770935689,blacksmith,2
sheet metal worker,1718,0.772309937,sheet metal worker,2
sales manager,1714,0.773680986,sales manager,3
porter,1703,0.775043235,porter,1
housework,1581,0.776307896,housewife,1
shipfitter,1478,0.777490165,shipfitter,2
maid,1469,0.778665235,maid,1
motorman,1468,0.779839506,motorman,1
superintendent,1424,0.78097858,superintendent,3
clerical,1404,0.782101656,clerical,2
auditor,1346,0.783178337,auditor,3
pipefitter,1298,0.784216622,pipefitter,2
office manager,1278,0.78523891,office manager,3
office clerk,1269,0.786253998,office clerk,2
buyer,1254,0.787257087,buyer,2
iron worker,1240,0.788248977,iron worker,2
millman,1198,0.789207272,millman,1
advertising,1177,0.790148768,advertising,3
molder,1161,0.791077465,molder,2
music teacher,1159,0.792004563,music teacher,2
school teacher,1151,0.792925261,school teacher,2
saleswoman,1149,0.79384436,saleswoman,1
Central Ave,1148,0.794762658,,1
letter carrier,1139,0.795673758,letter carrier,1
bank teller,1131,0.796578458,bank teller,2
miner,1127,0.797479958,miner,1
office work,1116,0.79837266,office worker,2
lawyer,1112,0.799262161,lawyer,3
photographer,1090,0.800134065,photographer,2
fern housewife,1089,0.801005169,housewife,1
jeweler,1079,0.801868274,jeweler,3
rigger,1059,0.80271538,rigger,2
realtor,1055,0.803559287,realtor,3
cabinet maker,1049,0.804398394,cabinet maker,2
pressman,1024,0.805217504,pressman,2
social worker,1014,0.806028614,social worker,2
Hywd hswf,1007,0.806834126,housewife,1
packer,996,0.807630838,packer,1
seaman,994,0.80842595,seaman,1
bartender,993,0.809220262,bartender,1
shipwright,986,0.810008975,shipwright,2
er,965,0.81078089,,1
r,964,0.811552005,,1
switchman,947,0.812309521,switchman,1
lumberman,935,0.813057438,lumberman,1
shoemaker,926,0.813798157,shoemaker,2
brakeman,919,0.814533276,brakeman,1
longshoreman,906,0.815257996,longshoreman,1
insurance broker,902,0.815979516,insurance broker,3
mail carrier,894,0.816694637,mail carrier,1
Colton Ave,888,0.817404958,,1
locomotive engineer,883,0.818111281,locomotive engineer,2
mining engineer,864,0.818802404,mining engineer,2
insurance agent,840,0.81947433,insurance agent,3
banking,827,0.820135857,banking,3
enographer,823,0.820794184,stenographer,2
mariner,810,0.821442113,mariner,1
rancher,805,0.822086042,rancher,1
male clerk,791,0.822718772,male clerk,1
clergyman,789,0.823349902,clergyman,3
purchasing agent,774,0.823969034,purchasing agent,2
cleaner,766,0.824581766,cleaner,1
poultryman,731,0.825166502,poultryman,1
telephone opr,727,0.825748037,telephone operator,1
supervisor,725,0.826327973,supervisor,3
credit manager,712,0.826897511,credit manager,3
roofer,699,0.827456649,roofer,2
timekeeper,687,0.828006188,timekeeper,1
cement finisher,664,0.828537329,cement finisher,2
oil worker,663,0.829067671,oil worker,2
Livermore farmer,659,0.829594813,farmer,1
agent,658,0.830121155,agent,2
cement worker,658,0.830647497,cement worker,2
male merchant,645,0.83116344,merchant,2
cannery worker,643,0.831677783,cannery worker,1
professor,641,0.832190526,professor,3
writer,626,0.832691271,writer,1
cabinetmaker,614,0.833182417,cabinetmaker,1
rician,609,0.833669563,rician,1
Anderson St,600,0.83414951,Anderson St,1
homekeeper,600,0.834629457,homekeeper,1
mining,596,0.835106204,mining,1
grocery clerk,595,0.835582152,grocery clerk,1
mechanical engineer,595,0.836058099,mechanical engineer,1
city fireman,591,0.836530847,city fireman,1
office worker,589,0.837001995,office worker,1
flanger,583,0.837468343,flanger,1
moulder,578,0.837930692,moulder,1
service man,559,0.838377843,service man,1
bookbinder,558,0.838824194,bookbinder,1
bricklayer,550,0.839264145,bricklayer,1
hawf,540,0.839696098,housewife,1
male salesman,539,0.84012725,male salesman,1
glass worker,538,0.840557602,glass worker,1
trainman,534,0.840984755,trainman,1
burner,530,0.841408708,burner,1
teaching,529,0.841831862,teaching,1
Base Line,528,0.842254215,,1
male retired,522,0.842671769,retired,1
nue housewife,520,0.843087723,housewife,1
Euclid Ave,508,0.843494078,,1
Livermore housewife,508,0.843900433,housewife,1
apt manager,506,0.844305189,apartment manager,1
checker,505,0.844709144,checker,1
hwf,504,0.8451123,housewife,1
homemkr,500,0.845512255,housewife,1
sign painter,496,0.845909012,sign painter,1
P O clerk,493,0.846303368,Postal Clerk,1
traffic manager,491,0.846696125,traffic manager,1
metal worker,490,0.847088081,metal worker,1
garage man,487,0.847477638,garage man,1
male carpenter,485,0.847865596,carpenter,1
millwright,485,0.848253553,millwright,1
Navy,476,0.848634311,Navy Sailor,1
apartment manager,474,0.849013469,apartment manager,1
locomotive fireman,470,0.849389427,locomotive fireman,1
executive,468,0.849763786,executive,1
Niles housewife,468,0.850138145,housewife,1
ironworker,467,0.850511704,ironworker,1
pipe fitter,466,0.850884462,pipe fitter,1
garage owner,451,0.851245223,garage owner,1
mill hand,451,0.851605983,mill hand,1
auto trimmer,449,0.851965143,auto trimmer,1
expressman,449,0.852324303,expressman,1
policeman,447,0.852681864,policeman,1
newspaperman,444,0.853037025,newspaperman,1
trimmer,442,0.853390586,trimmer,1
presser,441,0.853743347,presser,1
boiler maker,440,0.854095308,boiler maker,1
solicitor,436,0.854444069,solicitor,1
torney,436,0.854792831,torney,1
deckhand,431,0.855137593,deckhand,1
Army,424,0.855476755,Army,1
surveyor,421,0.855813518,surveyor,1
beautician,420,0.856149481,beautician,1
Chino Ave,418,0.856483844,,1
newspaper man,418,0.856818207,reporter,1
hod carrier,416,0.857150971,hod carrier,1
publisher,415,0.857482934,publisher,1
chief clerk,411,0.857811698,clerk,1
apt house mgr,400,0.858131662,apartment manager,1
Juan St,400,0.858451627,,1
Ramona Ave,400,0.858771592,,1
lithographer,398,0.859089956,lithographer,1
apt house manager,396,0.859406721,apartment manager,1
ship builder,393,0.859721087,ship builder,1
millhand,390,0.860033052,millhand,1
telegrapher,390,0.860345018,telegrapher,1
hskpr,386,0.860653784,maid,1
reporter,386,0.86096255,reporter,1
reet housewife,385,0.861270516,houewife,1
tile setter,385,0.861578482,tile setter,1
Highland Ave,384,0.861885648,,1
nurseryman,383,0.862192014,nurseryman,1
clerical work,381,0.86249678,clerk,1
tailoress,375,0.862796747,seamstress,1
Truck Drive,374,0.863095914,Driver,1
sales clerk,372,0.863393481,cashier,1
glazier,369,0.863688649,glazier,1
sales engineer,368,0.863983016,sales engineer,1
chef,363,0.864273384,chef,1
ener,363,0.864563752,,1
auto worker,357,0.864849321,auto worker,1
caretaker,355,0.865133289,caretaker,1
optician,355,0.865417258,optician,1
groceryman,353,0.865699627,grocery clerk,1
teller,347,0.865977196,cashier,1
chipper,344,0.866252366,chipper,1
tool maker,343,0.866526735,tool maker,1
Archibald Ave,342,0.866800305,,1
helper,341,0.867073075,helper,1
auto painter,339,0.867344245,auto worker,1
receiving clerk,339,0.867615415,clerk,1
designer,336,0.867884186,designer,1
widow,336,0.868152956,widow,1
comptometer opr,333,0.868419327,,1
auto dealer,327,0.868680898,,1
piano teacher,327,0.868942469,,1
male laborer,326,0.86920324,,1
insurance clerk,325,0.869463211,,1
sheet metal,324,0.869722383,,1
o,323,0.869980754,,1
life insurance,317,0.870234326,,1
insurance salesman,316,0.870487098,,1
mill man,315,0.87073907,,1
Evans St,312,0.870988643,,1
houewife,312,0.871238215,,1
housemaid,312,0.871487788,,1
Walnut Ave,312,0.87173736,,1
joiner,311,0.871986133,,1
public accountant,311,0.872234905,,1
fitter,310,0.872482878,,1
dental nurse,307,0.872728451,,1
essmaker,306,0.872973224,,1
hotel manager,300,0.873213197,,1
technician,299,0.873452371,,1
box maker,294,0.873687545,,1
Decoto laborer,294,0.873922719,,1
retired teacher,289,0.874153893,,1
undertaker,289,0.874385068,,1
vulcanizer,289,0.874616242,,1
Foothill Blvd,288,0.874846617,,1
sailor,287,0.875076192,,1
Pullman porter,286,0.875304966,,1
car cleaner,285,0.875532941,,1
newspaper,285,0.875760916,,1
supt,284,0.875988091,,1
credit man,279,0.876211266,,1
dairyman,279,0.876434442,,1
Livermore laborer,276,0.876655217,,1
cosmetician,275,0.876875193,,1
Citrus Ave,274,0.877094369,,1
dept manager,270,0.877310345,,1
View Ave,270,0.877526321,,1
creamery worker,269,0.877741497,,1
Central St,268,0.877955874,,1
file clerk,268,0.87817025,,1
landlady,268,0.878384626,,1
candy maker,267,0.878598203,,1
Pleasanton farmer,267,0.878811779,,1
shipbuilder,267,0.879025356,,1
Telephone Co,267,0.879238932,,1
bkkpr,266,0.879451709,,1
