county,year,rollnum
alameda,1902,1
alameda,1904,2
alameda,1906,3
alameda,1908,4
alameda,1910,5
alameda,1912,6
alameda,1912,7
alameda,1914,8
alameda,1914,9
alameda,1916,10
alameda,1916,11
alameda,1918,12
alameda,1918,13
alameda,1920,14
alameda,1920,15
alameda,1922,16
alameda,1922,17
alameda,1922,18
alameda,1924,19
alameda,1924,20
alameda,1924,21
alameda,1926,22
alameda,1926,23
alameda,1926,24
alameda,1928,25
alameda,1928,26
alameda,1928,27
alameda,1928,28
alameda,1930,29
alameda,1930,30
alameda,1930,31
alameda,1932,32
alameda,1932,33
alameda,1932,34
alameda,1934,35
alameda,1934,36
alameda,1934,37
alameda,1936,38
alameda,1936,39
alameda,1936,40
alameda,1936,41
alameda,1938,42
alameda,1938,43
alameda,1938,44
alameda,1938,45
alameda,1938,46
alameda,1940,47
alameda,1940,48
alameda,1940,49
alameda,1940,50
alameda,1940,51
alameda,1940,52
alameda,1942,53
alameda,1942,54
alameda,1942,55
alameda,1942,56
alameda,1942,57
alameda,1944,58
alameda,1944,59
alameda,1944,60
alameda,1944,61
alameda,1944,62
sanbernardino,1900-1910,1
sanbernardino,1912-1916,2
sanbernardino,1918-1922,3
sanbernardino,1924-1926,4
sanbernardino,1928-1930,5
sanbernardino,1932,6
sanbernardino,1934,7
sanbernardino,1936,8
sanbernardino,1938,9
sanbernardino,1940,10
sanbernardino,1940,11
sanbernardino,1942,12
sanbernardino,1944,13
sanbernardino,1946,14
sanbernardino,1948,15
sanbernardino,1950,16
sanbernardino,1952,17
sanbernardino,1954,18
sanbernardino,1954,19
sanbernardino,1956,20
sanbernardino,1956,21
sanbernardino,1958,22
sanbernardino,1958,23
sanbernardino,1958,24
sanbernardino,1960,25
sanbernardino,1960,26
sanbernardino,1960,27
sanbernardino,1960,28
sanbernardino,1962,29
sanbernardino,1962,30
sanbernardino,1962,31
sanbernardino,1962,32
sanbernardino,1964,33
sanbernardino,1964,34
sanbernardino,1964,35
